_runtime,_timestamp,_wandb,system.gpu.0.correctedMemoryErrors,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.fanSpeed,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smClock,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.md127.in,system.disk.md127.out,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB
15.442844723,1777179138.9199848,True,0.0,300.0,0.0,63.0,47.0,28.963924352961612,6993805312.0,6251.0,50.595333333333336,151.786,1710.0,42.0,0.0,,,,,,,,,,,,
15.444807328,1777179138.9219472,True,,,,,,,,,,,,,,6.959626816788731,117.59841918945312,3.3246457498894815,0.0,5785.98828125,8.1399025450476,142550.0,68588.0,59.0,175607.52734375,1.2206082806059217,2333.41796875
30.442620437,1777179153.9197605,True,0.0,300.0,0.0,61.0,47.0,28.963924352961612,6993805312.0,6251.0,50.817666666666675,152.453,1710.0,43.0,0.0,,,,,,,,,,,,
30.443022147,1777179153.9201622,True,,,,,,,,,,,,,,6.252752340377138,105.24592971801758,2.9754263309141122,0.0,5802.57421875,8.043758609165133,263960.0,107477.0,59.0,175791.32421875,1.2212825877308306,2334.70703125
45.442266821,1777179168.919407,True,0.0,300.0,0.0,61.0,47.0,28.963924352961612,6993805312.0,6251.0,51.64333333333334,154.93,1710.0,46.0,0.0,,,,,,,,,,,,
45.442495326,1777179168.9196353,True,,,,,,,,,,,,,,5.830090119275204,105.2459487915039,2.9754268701440245,0.0,5802.703125,7.989879426529988,371301.0,141448.0,59.0,175894.32421875,1.2213970156065728,2334.92578125
60.442057134,1777179183.919197,True,0.0,300.0,0.0,60.0,46.0,28.963924352961612,6993805312.0,6251.0,49.230666666666664,147.692,1710.0,47.0,0.0,,,,,,,,,,,,
60.442503114,1777179183.9196432,True,,,,,,,,,,,,,,5.545511002554957,105.24537658691406,2.975410693246658,0.0,5814.6884765625,7.9468811088649645,491883.0,179521.0,59.0,175976.5234375,1.2214194925107362,2334.96875
75.442149298,1777179198.9192894,True,0.0,300.0,0.0,62.0,46.0,28.963924352961612,6993805312.0,6251.0,51.00533333333333,153.016,1710.0,48.0,0.0,,,,,,,,,,,,
75.442590618,1777179198.9197307,True,,,,,,,,,,,,,,5.341939832240346,105.24536514282227,2.9754103697087104,0.0,5814.7705078125,7.93074882174025,605940.0,215532.0,59.0,176007.36328125,1.221446056124748,2335.01953125
90.443006381,1777179213.9201465,True,0.0,300.0,0.0,77.0,45.0,29.441603699843665,7109148672.0,6251.0,63.0,189.0,1710.0,52.0,0.0,,,,,,,,,,,,
90.443334178,1777179213.9204743,True,,,,,,,,,,,,,,5.184373448805369,105.24621200561523,2.975434311516813,0.0,5815.58642578125,7.988802578485059,627739.0,223918.0,64.0,175896.3828125,1.2700411229265158,2427.91796875
105.44246012,1777179228.9196,True,0.0,300.0,0.0,59.0,46.0,30.040874153204793,7253852160.0,6251.0,50.63333333333333,151.9,1710.0,50.0,0.0,,,,,,,,,,,,
105.442735986,1777179228.919876,True,,,,,,,,,,,,,,5.0598030125449975,105.24593734741211,2.975426546606077,0.0,5815.83251953125,8.042992351068646,707670.0,263701.0,64.0,175792.7890625,1.3353487896514045,2552.765625
120.442283595,1777179243.9194236,True,0.0,300.0,0.0,58.0,45.0,30.040874153204793,7253852160.0,6251.0,48.334333333333326,145.003,1710.0,50.0,0.0,,,,,,,,,,,,
120.442840988,1777179243.919981,True,,,,,,,,,,,,,,4.96466779876455,105.24565124511719,2.9754184581573937,0.0,5817.3408203125,8.033310935438893,828104.0,305515.0,64.0,175811.296875,1.3354509573976028,2552.9609375
135.442598178,1777179258.9197383,True,0.0,300.0,0.0,63.0,45.0,30.040874153204793,7253852160.0,6251.0,49.44,148.32,1710.0,50.0,0.0,,,,,,,,,,,,
135.443271243,1777179258.9204113,True,,,,,,,,,,,,,,4.8872277792112975,109.13137435913086,3.0852724249478887,0.0,7217.1611328125,8.145017062422285,942195.0,341328.0,64.0,175597.75,1.33550612798055,2553.06640625
150.44222998,1777179273.91937,True,0.0,300.0,0.0,58.0,45.0,30.040874153204793,7253852160.0,6251.0,48.66766666666666,146.003,1710.0,49.0,0.0,,,,,,,,,,,,
150.442921646,1777179273.9200616,True,,,,,,,,,,,,,,4.82219165351916,110.11844635009766,3.1131781121350257,0.0,10835.189453125,8.111546908767716,1056537.0,377106.0,64.0,175661.734375,1.3355449517241051,2553.140625
165.442050148,1777179288.9191902,True,0.0,300.0,0.0,60.0,46.0,30.040874153204793,7253852160.0,6251.0,49.12533333333334,147.376,1710.0,49.0,0.0,,,,,,,,,,,,
165.442423487,1777179288.9195635,True,,,,,,,,,,,,,,4.767756179913749,110.11809921264648,3.1131682981506237,0.0,10835.201171875,8.102082088759905,1170748.0,413094.0,64.0,175679.828125,1.3355939922422804,2553.234375
180.442771563,1777179303.9199116,True,0.0,300.0,0.0,74.0,40.0,30.040874153204793,7253852160.0,6251.0,60.78566666666667,182.357,1710.0,53.0,0.0,,,,,,,,,,,,
180.443373707,1777179303.9205136,True,,,,,,,,,,,,,,4.722019977651519,105.24670028686523,2.975448115802566,0.0,10843.435546875,8.028151464255878,1251782.0,439089.0,64.0,175821.16015625,1.3357697207657415,2553.5703125
195.442247732,1777179318.9193878,True,0.0,300.0,0.0,59.0,46.0,30.040874153204793,7253852160.0,6251.0,52.783333333333324,158.35,1710.0,52.0,0.0,,,,,,,,,,,,
195.442974058,1777179318.920114,True,,,,,,,,,,,,,,4.684967580273924,105.24641418457031,2.9754400273538826,0.0,10843.576171875,8.054890806790901,1259155.0,442705.0,64.0,175770.04296875,1.3358228479937646,2553.671875
210.441956776,1777179333.9190967,True,0.0,300.0,0.0,60.0,46.0,30.040874153204793,7253852160.0,6251.0,50.749,152.247,1710.0,51.0,0.0,,,,,,,,,,,,
210.442467708,1777179333.9196076,True,,,,,,,,,,,,,,4.6488992290882205,105.24637603759766,2.975438948894058,0.0,10856.60302734375,8.038899511155941,1371601.0,481359.0,64.0,175800.61328125,1.3358248913486888,2553.67578125
225.442519937,1777179348.9196599,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,50.12000000000001,150.36,1710.0,50.0,0.0,,,,,,,,,,,,
225.443025839,1777179348.9201658,True,,,,,,,,,,,,,,4.617366856160787,105.24639511108398,2.9754394881239703,0.0,10856.62255859375,8.028045209799831,1484602.0,517060.0,64.0,175821.36328125,1.3358269347036127,2553.6796875
240.44253677,1777179363.9196768,True,0.0,300.0,0.0,59.0,45.0,30.040874153204793,7253852160.0,6251.0,49.22233333333333,147.667,1710.0,50.0,0.0,,,,,,,,,,,,
240.44295896,1777179363.920099,True,,,,,,,,,,,,,,4.589335038763501,105.24238967895508,2.975326249842405,0.0,10857.2275390625,8.025989594746322,1596888.0,552896.0,64.0,175825.29296875,1.3358269347036127,2553.6796875
255.442341615,1777179378.9194815,True,0.0,300.0,0.0,60.0,46.0,30.040874153204793,7253852160.0,6251.0,50.556,151.668,1710.0,50.0,0.0,,,,,,,,,,,,
255.442941778,1777179378.9200819,True,,,,,,,,,,,,,,4.5638078379960705,105.2424087524414,2.9753267890723167,0.0,10857.2431640625,8.03556066921018,1716771.0,590705.0,64.0,175806.99609375,1.3358269347036127,2553.6796875
270.441909661,1777179393.9190497,True,0.0,300.0,0.0,60.0,47.0,30.040874153204793,7253852160.0,6251.0,51.205,153.615,1710.0,50.0,0.0,,,,,,,,,,,,
